endpoint,n_workers,n_users,n_requests,duration,n_failed,rps,wait_from,wait_to,min,max,avg,p50,p95,p99
health,1,1,23,120,0,0.19,0.5,1,3,7,6.25,6,7,7
registration,1,1,104,120,0,0.87,0.5,1,217,266,247.79,260,260,270
health,1,5,73,120,0,0.61,0.5,1,2,869,338.24,280,820,870
registration,1,5,337,120,0,2.81,0.5,1,218,1221,796.09,850,1100,1100
health,1,10,84,120,0,0.7,0.5,1,2,1899,1268.14,1400,1700,1900
registration,1,10,414,120,0,3.45,0.5,1,848,2270,1695.79,1700,2100,2200
health,1,15,84,120,0,0.7,0.5,1,2,2765,2143.7,2200,2600,2800
registration,1,15,450,120,0,3.75,0.5,1,1612,6369,2630.44,2600,3200,6000
health,1,20,91,120,0,0.76,0.5,1,6,3992,2342.19,2300,3600,4000
registration,1,20,471,120,3,3.93,0.5,1,657,10611,3696.26,3300,7300,7900
health,4,5,113,120,0,0.94,0.5,1,1,238,13.45,2,79,180
registration,4,5,508,120,0,4.23,0.5,1,215,481,259.9,220,440,470
health,4,10,169,120,0,1.04,0.5,1,1,678,109.74,5,570,650
registration,4,10,892,120,0,4.81,0.5,1,216,1231,423.96,370,860,900
health,4,15,246,120,0,1.85,0.5,1,1,857,158.27,19,690,810
registration,4,15,1140,120,0,9.16,0.5,1,217,2295,632.91,640,1100,1500
health,4,20,248,120,0,1.8,0.5,1,1,1287,360.45,220,1100,1300
registration,4,20,1222,120,0,9.18,0.5,1,218,3695,987.19,910,1900,2900
