n_workers,n_users,n_requests,duration,n_failed,rps,wait_from,wait_to,min,max,avg,p50,p95,p99
1,1,60,60,0,1,0.5,1,219,267,243,250,260,270
1,5,176,60,0,2.93,0.5,1,223,1178,936.26,950,1100,1200
1,10,220,60,0,3.67,0.5,1,1619,2376,2004.46,2000,2200,2300
1,15,224,60,0,3.73,0.5,1,227,6656,3112.56,2900,5900,6500
1,20,227,60,5,3.78,0.5,1,2197,11388,4279.26,3600,7900,10000
2,5,220,60,0,3.67,0.5,1,216,927,617.53,680,900,920
4,5,295,60,0,4.92,0.5,1,217,482,267.02,220,460,180
4,10,518,60,0,8.63,0.5,1,217,1082,407.45,420,670,800
4,15,588,60,0,9.8,0.5,1,218,2114,785.97,750,1500,1900
4,20,530,60,0,8.83,0.5,1,219,7867,1516,1400,2700,4600
